"EMPNO","FIRSTNME","MIDINIT","LASTNAME","WORKDEPT","PHONENO","HIREDATE","JOB","EDLEVEL","SEX","BIRTHDATE","SALARY","BONUS","COMM"
"000010","CHRISTINE","I","HAAS","A00","3978","1995-01-01","PRES",18,"F","1963-08-24",152750,1000,4220
"000020","MICHAEL","L","THOMPSON","B01","3476","2003-10-10","MANAGER",18,"M","1978-02-02",94250,800,3300
"000030","SALLY","A","KWAN","C01","4738","2005-04-05","MANAGER",20,"F","1971-05-11",98250,800,3060
"000040","JAMES","","SMITH","D01","1111","2001-03-03","ANALYST",16,"M","1975-03-29",81200,500,2000
"000050","JOHN","B","GEYER","E01","6789","1979-08-17","MANAGER",16,"M","1955-09-15",80175,800,3214
"000060","IRVING","F","STERN","D11","6423","2003-09-14","MANAGER",16,"M","1975-07-07",72250,500,2580
"000070","EVA","D","PULASKI","D21","7831","2005-09-30","MANAGER",16,"F","2003-05-26",96170,700,2893
"000080","ROBERT","","BROWN","D11","2222","2004-04-04","ENGINEER",14,"M","1980-01-01",71200,400,1800
"000090","EILEEN","W","HENDERSON","E01","5498","2000-08-15","MANAGER",16,"F","1971-05-15",89750,600,2380
"000100","THEODORE","Q","SPENSER","E11","0972","2000-06-19","ANALYST",14,"M","1980-12-18",86150,500,2092
"000110","VINCENZO","G","LUCCHESSI","A00","3490","1988-05-16","SALESREP",19,"M","1959-11-05",66500,900,3720
"000120","SEAN","","O'CONNELL","F22","2167","1993-12-05","CLERK",14,"M","1972-10-18",49250,600,2340
"000130","DOLORES","M","QUINTANA","C01","4578","2001-07-07","ANALYST",16,"F","1975-09-15",73800,500,1900
"000140","HEATHER","A","NICHOLLS","B01","1793","2006-12-15","CLERK",12,"F","1986-01-19",48400,400,1500
"000150","BRUCE","","ADAMSON","D01","4510","2002-02-02","DESIGNER",16,"M","1977-06-17",75200,500,2100
"000160","ELIZABETH","R","PIANKA","D11","3782","2006-10-11","ENGINEER",14,"F","1980-04-12",70200,400,1700
"000170","MASATOSHI","J","YOSHIMURA","D11","2890","1999-09-09","ENGINEER",16,"M","1973-07-14",74600,500,2000
"000180","MARILYN","S","SCOUTTEN","D21","1682","2003-03-03","ANALYST",16,"F","1979-02-21",81300,500,2100
"000190","JOSE","A","PEREZ","D21","2245","2004-05-05","CLERK",12,"M","1982-11-11",49200,400,1600
"000200","DAVID","","WALKER","E11","3456","2002-06-06","ANALYST",16,"M","1976-08-08",82300,500,2200
